START_DT;END_DT;CLIENT_NAME;YEAR_BIRTH;CLIENT_ID
2015-07-16;2021-01-01;Olivia;1979;2213
2015-07-17;2021-01-01;Emma;1979;1148
2015-07-18;2021-01-01;Charlotte;1979;2293
2015-07-19;2021-01-01;Amelia;1979;1867
2015-07-20;2021-01-01;Ava;1979;1767
2015-07-21;2021-01-01;Sophia;1979;3853
2015-07-22;2021-01-01;Isabella;1979;1605
2015-07-23;2021-01-01;Mia;1979;3273
2015-07-24;2021-01-01;Evelyn;1979;147
2015-07-25;2021-01-01;Harper;1979;1420
2015-07-26;2021-01-01;Luna;1979;2400
2015-07-27;2021-01-01;Camila;1979;1830
2015-07-28;2021-01-01;Gianna;1979;1572
2015-07-29;2021-01-01;Elizabeth;1979;766
2015-07-30;2021-01-01;Eleanor;1979;4619
2015-07-31;2021-01-01;Ella;1979;2918
2015-08-01;2021-01-01;Abigail;1979;4998
2015-08-02;2021-01-01;Sofia;1979;3896
2015-08-03;2021-01-01;Avery;1979;487
2015-08-04;2021-01-01;Scarlett;1979;263
2015-08-05;2021-01-01;Emily;1979;95
2015-08-06;2021-01-01;Aria;1979;685
2015-08-07;2021-01-01;Penelope;1979;2750
2015-08-08;2021-01-01;Chloe;1979;756
2015-08-09;2021-01-01;Layla;1979;4192
2015-08-10;2021-01-01;Mila;1979;1618
2015-08-11;2021-01-01;Nora;1979;4053
2010-01-01;2999-12-31;Hazel;1945;1172
2010-01-01;2999-12-31;Madison;1945;2912
2010-01-01;2999-12-31;Ellie;1945;3604
2010-01-01;2999-12-31;Lily;1946;4361
2010-02-01;2999-12-31;Nova;1946;3700
2010-02-02;2999-12-31;Isla;1946;1753
2010-02-02;2999-12-31;Grace;1946;865
2010-02-02;2999-12-31;Violet;1946;3755
2010-02-02;2999-12-31;Aurora;1946;1559
2010-02-02;2999-12-31;Riley;1946;1213
2010-02-02;2999-12-31;Zoey;1946;873
2010-02-02;2999-12-31;Willow;1946;2170
2010-02-02;2999-12-31;Emilia;1946;4116
2010-02-02;2999-12-31;Stella;1946;264
2010-02-02;2999-12-31;Zoe;1946;4909
2010-02-02;2999-12-31;Victoria;1946;2592
2010-02-02;2999-12-31;Hannah;1946;1044
2010-02-02;2999-12-31;Addison;1946;1367
2010-04-22;2999-12-31;Leah;1946;4166
2010-04-22;2999-12-31;Lucy;1947;2555
2010-04-22;2999-12-31;Eliana;1947;1944
2010-04-22;2999-12-31;Ivy;1947;4514
2010-04-22;2999-12-31;Everly;1947;343
2010-04-22;2999-12-31;Lillian;1947;1034
2010-04-22;2999-12-31;Paisley;1947;2466
2010-04-22;2999-12-31;Elena;1947;2994
2010-04-22;2999-12-31;Naomi;1947;4881
2010-04-22;2999-12-31;Maya;1947;3192
2010-04-22;2999-12-31;Natalie;1947;2335
2010-04-22;2999-12-31;Kinsley;1947;2462
2010-04-22;2999-12-31;Delilah;1947;3973
2010-04-22;2999-12-31;Claire;1947;3864
2010-04-22;2999-12-31;Audrey;1947;2673
2010-04-22;2999-12-31;Aaliyah;1947;2027
2010-04-22;2999-12-31;Ruby;1947;4274
2010-04-22;2999-12-31;Brooklyn;1948;1181
2010-04-22;2999-12-31;Alice;1948;1877
2010-04-22;2999-12-31;Aubrey;1948;4122
2010-04-22;2999-12-31;Autumn;1948;1373
2010-04-22;2999-12-31;Leilani;1948;2117
2010-04-22;2999-12-31;Savannah;1948;148
2015-08-12;2021-01-01;Valentina;1979;1740
2015-08-13;2021-01-01;Kennedy;1979;2071
2015-08-14;2021-01-01;Madelyn;1979;606
2015-08-15;2021-01-01;Josephine;1979;1720
2015-08-16;2021-01-01;Bella;1979;4596
2015-12-04;2021-01-01;Skylar;1980;1878
2015-12-05;2021-01-01;Genesis;1980;4892
2015-12-06;2021-01-01;Sophie;1981;927
2015-12-07;2021-01-01;Hailey;1981;1457
2015-12-08;2021-01-01;Sadie;1981;1528
2015-12-09;2021-01-01;Natalia;1981;4196
2015-12-10;2021-01-01;Quinn;1981;3197
2015-12-11;2021-01-01;Caroline;1981;4523
2015-12-12;2021-01-01;Allison;1981;111
2015-12-13;2021-01-01;Gabriella;1981;200
2015-12-14;2021-01-01;Anna;1981;3465
2015-12-15;2021-01-01;Serenity;1981;4781
2015-12-16;2021-01-01;Nevaeh;1981;4772
2015-12-17;2021-01-01;Cora;1981;2215
2015-12-18;2021-01-01;Ariana;1981;4075
2015-12-19;2021-01-01;Emery;1981;771
2015-12-20;2021-01-01;Lydia;1981;144
2010-04-22;2999-12-31;Jade;1949;2044
2010-04-22;2999-12-31;Sarah;1949;1068
2010-04-22;2999-12-31;Eva;1949;3355
2010-04-22;2999-12-31;Adeline;1949;3024
2010-04-22;2999-12-31;Madeline;1949;167
2010-04-22;2999-12-31;Piper;1949;1531
2010-04-22;2999-12-31;Rylee;1949;2761
2010-04-22;2999-12-31;Athena;1949;2285
2010-04-22;2999-12-31;Peyton;1949;3900
2010-04-22;2999-12-31;Everleigh;1949;2202
2010-04-22;2999-12-31;Vivian;1949;465
2010-04-22;2999-12-31;Clara;1949;3797
2010-04-22;2999-12-31;Raelynn;1949;3463
2010-04-22;2999-12-31;Liliana;1949;292
2010-04-22;2999-12-31;Samantha;1949;3348
2010-04-22;2999-12-31;Maria;1949;293
2010-04-22;2999-12-31;Iris;1949;441
2010-04-22;2999-12-31;Ayla;1949;2825
2010-04-22;2999-12-31;Eloise;1949;4498
2010-04-22;2999-12-31;Lyla;1949;506
2010-04-22;2999-12-31;Eliza;1949;2327
2010-04-22;2999-12-31;Hadley;1949;4146
2010-04-22;2999-12-31;Melody;1949;1125
2010-04-22;2999-12-31;Julia;1950;4554
2010-04-22;2999-12-31;Parker;1950;4896
2010-04-22;2999-12-31;Rose;1950;53
2010-04-22;2999-12-31;Isabelle;1950;4114
2010-04-22;2999-12-31;Brielle;1950;1419
2010-04-22;2999-12-31;Adalynn;1950;2141
2010-04-22;2999-12-31;Arya;1950;3949
2010-04-22;2999-12-31;Eden;1950;3939
2010-04-22;2999-12-31;Remi;1950;4400
2010-04-22;2999-12-31;Mackenzie;1950;152
2010-04-22;2999-12-31;Maeve;1950;1163
2010-04-22;2999-12-31;Margaret;1950;960
2010-04-22;2999-12-31;Reagan;1950;717
2010-05-07;2999-12-31;Charlie;1950;1666
2010-05-07;2999-12-31;Alaia;1950;483
2010-05-07;2999-12-31;Melanie;1950;193
2010-05-07;2999-12-31;Josie;1950;2708
2015-12-21;2021-01-01;Elliana;1981;122
2015-12-22;2021-01-01;Cecilia;1981;4005
2015-12-23;2021-01-01;Mary;1981;1972
2015-12-24;2021-01-01;Daisy;1981;3176
2015-12-25;2021-01-01;Alina;1981;3666
2015-12-26;2021-01-01;Lucia;1981;3584
2015-12-27;2021-01-01;Ximena;1981;1558
2015-12-28;2021-01-01;Juniper;1981;698
2015-12-29;2021-01-01;Kaylee;1981;4597
2015-12-30;2021-01-01;Magnolia;1981;4084
2015-12-31;2021-01-01;Summer;1981;1379
2016-01-01;2021-01-01;Adalyn;1981;499
2016-01-02;2021-01-01;Sloane;1981;112
2016-01-03;2021-01-01;Amara;1981;813
2016-01-04;2021-01-01;Arianna;1981;3439
2016-01-05;2021-01-01;Isabel;1981;2225
2016-01-06;2021-01-01;Reese;1981;378
2016-01-07;2021-01-01;Emersyn;1981;4251
2016-01-08;2021-01-01;Sienna;1981;525
2016-01-09;2021-01-01;Kehlani;1981;755
2016-01-10;2021-01-01;River;1981;2461
2016-01-11;2021-01-01;Freya;1981;4556
2016-01-12;2021-01-01;Valerie;1981;1811
2016-01-13;2021-01-01;Blakely;1981;3628
2016-01-14;2021-01-01;Genevieve;1981;1302
2016-01-15;2021-01-01;Esther;1981;3822
2016-01-16;2021-01-01;Valeria;1981;187
2016-01-17;2021-01-01;Katherine;1981;2443
2016-01-18;2021-01-01;Kylie;1981;297
2016-01-19;2021-01-01;Norah;1981;3879
2016-01-20;2021-01-01;Amaya;1981;4862
2016-01-21;2021-01-01;Bailey;1981;2864
2016-01-22;2021-01-01;Ember;1981;510
2016-01-23;2021-01-01;Ryleigh;1981;4193
2016-01-24;2021-01-01;Georgia;1981;4570
2016-01-25;2021-01-01;Catalina;1981;2702
2016-01-26;2021-01-01;Emerson;1981;808
2016-01-27;2021-01-01;Alexandra;1981;2351
2016-01-28;2021-01-01;Faith;1981;4443
2016-01-29;2021-01-01;Jasmine;1981;2360
2016-01-30;2021-01-01;Ariella;1981;2554
2016-07-10;2021-01-01;Ashley;1983;1151
2016-07-11;2021-01-01;Andrea;1983;4742
